postac_a,postac_b,sila_relacji
MOTHER,TEENAGER,4
MOTHER,TIFFANY,4
MOTHER,VAN STUDENT,4
GRITTED TEETH,TEENAGER,4
GRITTED TEETH,TIFFANY,4
GRITTED TEETH,VAN STUDENT,4
BLIND MOUSE #1,FAIRYTALE CREATURES,4
BLIND MOUSE #1,FIONA,4
CHEERLEADERS,MABEL,4
CHEERLEADERS,MOTHER,4
CHEERLEADERS,NANNY DWARF,4
CHEERLEADERS,OGRE,4
CHEERLEADERS,OGRE BABY,4
CINDERELLA,COSTUME STUDENT 1,4
CINDERELLA,COSTUME STUDENT 2,4
CINDERELLA,CYCLOPS,4
CHEERLEADERS,GINGERBREAD MAN,4
CHEERLEADERS,GINGERBREAD MAN/PINOCCHIO,4
CHEERLEADERS,GRITTED TEETH,4
CHEERLEADERS,HALL MONITOR,4
CHEERLEADERS,RUMPLESTILTSKIN,4
CHEERLEADERS,SHIP CAPTAIN,4
CHEERLEADERS,SLEEPING BEAUTY,4
CHEERLEADERS,JOCKS,4
RUMPLESTILTSKIN,VAN STUDENT,4
RAPUNZEL,STUDENTS,4
BLIND MOUSE #1,PIG #1,4
GUARD #2,PINOCCHIO,4
FEMALE STUDENT #1,JOCKS,4
FEMALE STUDENT #1,KNIGHT,4
FEMALE STUDENT #1,LANCELOT,4
CHEERLEADERS,PRINCE CHARMING,4
CHEERLEADERS,PRINCESSES,4
CHEERLEADERS,PRINCIPAL PYNCHLEY,4
CHEERLEADERS,RAPUNZEL,4
CINDERELLA,EVIL TREES,4
CINDERELLA,FEMALE STUDENT #1,4
CINDERELLA,GARY,4
CINDERELLA,GRITTED TEETH,4
CHEERLEADERS,LANCELOT,4
FEMALE STUDENT #1,HALL MONITOR,4
NANNY DWARF,PRINCE CHARMING,4
NANNY DWARF,PRINCIPAL PYNCHLEY,4
NANNY DWARF,PUSS,4
FEMALE STUDENT #1,RAPUNZEL,4
FEMALE STUDENT #1,RUMPLESTILTSKIN,4
FEMALE STUDENT #1,SHIP CAPTAIN,4
MOTHER,PUSS,4
MOTHER,RAPUNZEL,4
MOTHER,RUMPLESTILTSKIN,4
GUARD #1,PUSS,4
GUARD #1,SHREK,4
RUMPLESTILTSKIN,STUDENTS,4
BLIND MOUSE #1,DONKEY,4
RUMPLESTILTSKIN,TEENAGER,4
RUMPLESTILTSKIN,TIFFANY,4
FEMALE STUDENT #1,GINGERBREAD MAN/PINOCCHIO,4
FEMALE STUDENT #1,GRITTED TEETH,4
PRINCIPAL PYNCHLEY,RAPUNZEL,4
PRINCIPAL PYNCHLEY,RUMPLESTILTSKIN,4
PRINCIPAL PYNCHLEY,SHIP CAPTAIN,4
CINDERELLA,DRIVERS ED INSTRUCTOR,4
CINDERELLA,EVIL QUEEN,4
CINDERELLA,GUINEVERRE,4
CINDERELLA,HALL MONITOR,4
CINDERELLA,JOCKS,4
CINDERELLA,KNIGHT,4
CINDERELLA,LANCELOT,4
CHEERLEADERS,SNOW WHITE,4
CHEERLEADERS,STUDENTS,4
CHEERLEADERS,TEENAGER,4
PRINCIPAL PYNCHLEY,PUSS,4
RAPUNZEL,XAVIER,4
RUMPLESTILTSKIN,SLEEPING BEAUTY,4
NANNY DWARF,SHREK,4
CINDERELLA,MABEL,4
CINDERELLA,MOTHER,4
CINDERELLA,OGRE,4
CINDERELLA,TIFFANY,4
CINDERELLA,VAN STUDENT,4
CINDERELLA,OGRE BABY,4
FAIRYTALE CREATURES,PUSS,4
FAIRYTALE CREATURES,SHIP CAPTAIN,4
FAIRYTALE CREATURES,SHREK,4
NANNY DWARF,STUDENTS,4
FEMALE STUDENT #1,PIG #2,4
FEMALE STUDENT #1,FIONA,4
FEMALE STUDENT #1,GINGERBREAD MAN,4
CINDERELLA,RUMPLESTILTSKIN,4
OGRE,PIG #2,4
OGRE,PIGS,4
FAIRYTALE CREATURES,PIG #1,4
FAIRYTALE CREATURES,PRINCE CHARMING,4
OGRE,PINOCCHIO,4
NANNY DWARF,RUMPLESTILTSKIN,4
NANNY DWARF,SHIP CAPTAIN,4
GUINEVERRE,MABEL,4
GUARD #2,PUSS,4
GUARD #2,SHREK,4
MOTHER,PIG #1,4
MOTHER,PIG #2,4
MOTHER,PIGS,4
MOTHER,PRINCE CHARMING,4
MOTHER,PRINCESSES,4
FAIRYTALE CREATURES,HIS EARS,4
NANNY DWARF,TEENAGER,4
NANNY DWARF,TIFFANY,4
NANNY DWARF,VAN STUDENT,4
NANNY DWARF,XAVIER,4
OGRE,PIG #1,4
CINDERELLA,SHIP CAPTAIN,4
CINDERELLA,SHREK,4
CINDERELLA,STUDENTS,4
CINDERELLA,TEENAGER,4
PRINCESSES/PUSS/DONKEY,SLEEPING BEAUTY,4
PRINCESSES/PUSS/DONKEY,SNOW WHITE,4
CINDERELLA,PRINCESSES/PUSS/DONKEY,4
CINDERELLA,PRINCIPAL PYNCHLEY,4
COSTUME STUDENT 1,EVIL QUEEN,4
COSTUME STUDENT 1,EVIL TREES,4
COSTUME STUDENT 1,OGRE,4
COSTUME STUDENT 1,OGRE BABY,4
COSTUME STUDENT 1,PIG #1,4
COSTUME STUDENT 1,PIG #2,4
CINDERELLA,XAVIER,4
COSTUME STUDENT 1,CYCLOPS,4
COSTUME STUDENT 1,DORIS,4
COSTUME STUDENT 1,DRAGON,4
COSTUME STUDENT 1,DRIVERS ED INSTRUCTOR,4
COSTUME STUDENT 1,GINGERBREAD MAN,4
COSTUME STUDENT 1,GINGERBREAD MAN/PINOCCHIO,4
COSTUME STUDENT 1,GUINEVERRE,4
COSTUME STUDENT 1,JOCKS,4
OGRE,RUMPLESTILTSKIN,4
OGRE,SHIP CAPTAIN,4
FAIRYTALE CREATURES,FIONA,4
COSTUME STUDENT 1,GARY,4
COSTUME STUDENT 1,PRINCIPAL PYNCHLEY,4
COSTUME STUDENT 1,RAPUNZEL,4
COSTUME STUDENT 1,RUMPLESTILTSKIN,4
OGRE,SLEEPING BEAUTY,4
OGRE,PRINCESSES,4
OGRE,PRINCIPAL PYNCHLEY,4
OGRE,PUSS,4
OGRE,RAPUNZEL,4
COSTUME STUDENT 1,KNIGHT,4
COSTUME STUDENT 1,LANCELOT,4
PRINCESSES,XAVIER,4
PRINCESSES/PUSS/DONKEY,PUSS,4
PRINCESSES/PUSS/DONKEY,QUEEN,4
COSTUME STUDENT 1,MOTHER,4
COSTUME STUDENT 1,NANNY DWARF,4
GUINEVERRE,PIGS,4
SHIP CAPTAIN,SLEEPING BEAUTY,4
SHIP CAPTAIN,SNOW WHITE,4
SHIP CAPTAIN,STUDENTS,4
SHIP CAPTAIN,TEENAGER,4
SHIP CAPTAIN,TIFFANY,4
SHIP CAPTAIN,VAN STUDENT,4
RUMPLESTILTSKIN,XAVIER,4
OGRE,XAVIER,4
EVIL WITCHES,PINOCCHIO,4
EVIL WITCHES,SHREK,4
COSTUME STUDENT 1,PIGS,4
COSTUME STUDENT 1,PRINCE CHARMING,4
COSTUME STUDENT 1,PRINCESSES,4
COSTUME STUDENT 1,FEMALE STUDENT #1,4
COSTUME STUDENT 1,FIONA,4
COSTUME STUDENT 1,SLEEPING BEAUTY,4
COSTUME STUDENT 1,SNOW WHITE,4
COSTUME STUDENT 1,STUDENTS,4
COSTUME STUDENT 1,MABEL,4
COSTUME STUDENT 2,GUINEVERRE,4
COSTUME STUDENT 1,TEENAGER,4
COSTUME STUDENT 1,TIFFANY,4
COSTUME STUDENT 1,VAN STUDENT,4
COSTUME STUDENT 1,XAVIER,4
MOTHER,PRINCIPAL PYNCHLEY,4
GUINEVERRE,HALL MONITOR,4
GUINEVERRE,NANNY DWARF,4
GUINEVERRE,OGRE,4
GUINEVERRE,OGRE BABY,4
GUINEVERRE,PIG #1,4
GUINEVERRE,PIG #2,4
COSTUME STUDENT 2,EVIL QUEEN,4
COSTUME STUDENT 2,NANNY DWARF,4
COSTUME STUDENT 2,OGRE,4
COSTUME STUDENT 2,OGRE BABY,4
COSTUME STUDENT 2,PIG #1,4
COSTUME STUDENT 2,PIG #2,4
COSTUME STUDENT 2,EVIL TREES,4
OGRE BABY,PIG #2,4
OGRE BABY,PIGS,4
EVIL WITCHES,GUARD #2,4
OGRE,SNOW WHITE,4
OGRE,STUDENTS,4
OGRE,TEENAGER,4
OGRE,TIFFANY,4
OGRE,VAN STUDENT,4
COSTUME STUDENT 1,SHIP CAPTAIN,4
EVIL TREES,XAVIER,4
EVIL WITCHES,PUSS,4
OGRE BABY,PIG #1,4
COSTUME STUDENT 2,FEMALE STUDENT #1,4
COSTUME STUDENT 2,FIONA,4
COSTUME STUDENT 2,GARY,4
COSTUME STUDENT 2,GINGERBREAD MAN,4
COSTUME STUDENT 2,GINGERBREAD MAN/PINOCCHIO,4
PRINCESSES,SHREK,4
PRINCESSES,STUDENTS,4
PRINCESSES,TEENAGER,4
PRINCESSES,TIFFANY,4
COSTUME STUDENT 2,CYCLOPS,4
COSTUME STUDENT 2,DORIS,4
COSTUME STUDENT 2,DRAGON,4
COSTUME STUDENT 2,DRIVERS ED INSTRUCTOR,4
COSTUME STUDENT 2,XAVIER,4
EVIL TREES,SHIP CAPTAIN,4
PRINCESSES,VAN STUDENT,4
COSTUME STUDENT 2,JOCKS,4
COSTUME STUDENT 2,KNIGHT,4
COSTUME STUDENT 2,LANCELOT,4
COSTUME STUDENT 2,MABEL,4
COSTUME STUDENT 2,MOTHER,4
COSTUME STUDENT 2,PRINCESSES,4
COSTUME STUDENT 2,PRINCIPAL PYNCHLEY,4
COSTUME STUDENT 2,RAPUNZEL,4
COSTUME STUDENT 2,RUMPLESTILTSKIN,4
EVIL TREES,TEENAGER,4
EVIL TREES,TIFFANY,4
EVIL TREES,VAN STUDENT,4
EVIL TREES,WOLF,4
SHIP CAPTAIN,SHOUTING,4
GUINEVERRE,SLEEPING BEAUTY,4
GUINEVERRE,SNOW WHITE,4
GUINEVERRE,TEENAGER,4
EVIL TREES,PIGS,4
EVIL TREES,PINOCCHIO,4
EVIL WITCHES,GUARD #1,4
EVIL TREES,PRINCESSES,4
EVIL TREES,PRINCIPAL PYNCHLEY,4
COSTUME STUDENT 2,SHIP CAPTAIN,4
PRINCESSES,RUMPLESTILTSKIN,4
PRINCESSES,SHIP CAPTAIN,4
COSTUME STUDENT 2,STUDENTS,4
COSTUME STUDENT 2,TEENAGER,4
COSTUME STUDENT 2,TIFFANY,4
COSTUME STUDENT 2,VAN STUDENT,4
CYCLOPS,DRIVERS ED INSTRUCTOR,4
COSTUME STUDENT 2,PIGS,4
COSTUME STUDENT 2,PRINCE CHARMING,4
CYCLOPS,FEMALE STUDENT #1,4
EVIL TREES,NANNY DWARF,4
EVIL TREES,OGRE,4
EVIL TREES,OGRE BABY,4
EVIL TREES,PIG #2,4
GUINEVERRE,PRINCE CHARMING,4
GUINEVERRE,PRINCESSES,4
MOTHER,NANNY DWARF,4
MOTHER,OGRE,4
MOTHER,OGRE BABY,4
GUINEVERRE,RAPUNZEL,4
GUINEVERRE,RUMPLESTILTSKIN,4
GUINEVERRE,SHIP CAPTAIN,4
HALL MONITOR,MABEL,4
HALL MONITOR,MOTHER,4
HALL MONITOR,NANNY DWARF,4
EVIL TREES,LANCELOT,4
EVIL TREES,MOTHER,4
CYCLOPS,GARY,4
CYCLOPS,GINGERBREAD MAN/PINOCCHIO,4
CYCLOPS,GRITTED TEETH,4
COSTUME STUDENT 2,SLEEPING BEAUTY,4
COSTUME STUDENT 2,SNOW WHITE,4
CYCLOPS,QUIETLY,4
CYCLOPS,GUINEVERRE,4
CYCLOPS,HALL MONITOR,4
CYCLOPS,JOCKS,4
CYCLOPS,KNIGHT,4
CYCLOPS,DRAGON,4
CYCLOPS,OGRE BABY,4
CYCLOPS,PIGS,4
EVIL TREES,GUINEVERRE,4
EVIL TREES,HALL MONITOR,4
EVIL TREES,JOCKS,4
EVIL TREES,KNIGHT,4
OGRE BABY,PRINCE CHARMING,4
EVIL TREES,SLEEPING BEAUTY,4
EVIL TREES,STUDENTS,4
GUINEVERRE,MOTHER,4
HALL MONITOR,PRINCIPAL PYNCHLEY,4
HALL MONITOR,JOCKS,4
SHIP CAPTAIN,XAVIER,4
SHOUTING,SHREK,4
HALL MONITOR,KNIGHT,4
HALL MONITOR,LANCELOT,4
SLEEPING BEAUTY,VAN STUDENT,4
ARTIE,TEENAGER,4
ARTIE,TIFFANY,4
ARTIE,VAN STUDENT,4
SHREK,SLEEPING BEAUTY,4
CYCLOPS,PUPPET MASTER,4
DONKEY,EVIL WITCHES,4
DONKEY,FAIRYTALE CREATURES,4
CYCLOPS,SCRIPT,4
CYCLOPS,LANCELOT,4
CYCLOPS,MOTHER,4
CYCLOPS,MUFFIN MAN,4
CYCLOPS,NANNY DWARF,4
CYCLOPS,OGRE,4
CYCLOPS,TIFFANY,4
CYCLOPS,VAN STUDENT,4
CYCLOPS,SLEEPING BEAUTY,4
CYCLOPS,STUDENTS,4
CYCLOPS,TEACHER,4
CYCLOPS,TEENAGER,4
DONKEY,HIS EARS,4
CYCLOPS,XAVIER,4
CYCLOPS,PRINCESSES,4
CYCLOPS,PRINCIPAL PYNCHLEY,4
HALL MONITOR,STUDENTS,4
HALL MONITOR,TEENAGER,4
HALL MONITOR,TIFFANY,4
HALL MONITOR,VAN STUDENT,4
HALL MONITOR,OGRE,4
HALL MONITOR,OGRE BABY,4
SLEEPING BEAUTY,TEENAGER,4
SLEEPING BEAUTY,TIFFANY,4
ARTIE,WIZARD HEAD,4
ARTIE,XAVIER,4
ARTIE,GUARD #1,4
ARTIE,GUARD #2,4
DONKEY,EVIL DWARF #1,4
DONKEY,PIG #2,4
DONKEY,PIGS,4
DONKEY,PIRATES,4
ARTIE,SHOUTING,4
ARTIE,SLEEPING BEAUTY,4
SHREK,WIZARD HEAD,4
SLEEPING BEAUTY,STUDENTS,4
HALL MONITOR,PIG #1,4
HALL MONITOR,PIG #2,4
HALL MONITOR,PIGS,4
HALL MONITOR,PRINCE CHARMING,4
EVIL TREES,GINGERBREAD MAN/PINOCCHIO,4
EVIL TREES,GRITTED TEETH,4
DONKEY,GINGERBREAD MAN/PINOCCHIO,4
DONKEY,GUARD #1,4
DONKEY,GUARD #2,4
PRINCE CHARMING,VAN STUDENT,4
PRINCE CHARMING,XAVIER,4
PRINCESSES,PRINCESSES/PUSS/DONKEY,4
PRINCESSES,PRINCIPAL PYNCHLEY,4
HALL MONITOR,PRINCESSES,4
HALL MONITOR,XAVIER,4
ARTIE,OGRE,4
ARTIE,OGRE BABY,4
ARTIE,PIG #2,4
ARTIE,PIGS,4
ARTIE,PIRATES,4
DONKEY,OGRE BABY,4
DONKEY,SHOUTING,4
OGRE BABY,SHIP CAPTAIN,4
OGRE BABY,SLEEPING BEAUTY,4
EVIL TREES,FEMALE STUDENT #1,4
ARTIE,HALL MONITOR,4
ARTIE,JOCKS,4
ARTIE,KNIGHT,4
ARTIE,MOTHER,4
ARTIE,NANNY DWARF,4
HALL MONITOR,RAPUNZEL,4
HALL MONITOR,RUMPLESTILTSKIN,4
HALL MONITOR,SHIP CAPTAIN,4
HALL MONITOR,SLEEPING BEAUTY,4
HALL MONITOR,SNOW WHITE,4
EVIL TREES,GARY,4
PRINCE CHARMING,TIFFANY,4
DONKEY,WIZARD HEAD,4
DORIS,DRIVERS ED INSTRUCTOR,4
PRINCESSES,QUEEN,4
MERLIN,RUMPLESTILTSKIN,4
ARTIE,EVIL DWARF #1,4
ARTIE,EVIL WITCHES,4
ARTIE,PRINCESSES,4
ARTIE,FEMALE STUDENT #1,4
ARTIE,GARY,4
ARTIE,GINGERBREAD MAN/PINOCCHIO,4
ARTIE,GRITTED TEETH,4
MERLIN,WIZARD HEAD,4
DONKEY,MOTHER,4
DONKEY,NANNY DWARF,4
DONKEY,OGRE,4
DORIS,EVIL QUEEN,4
DONKEY,PRINCESSES/PUSS/DONKEY,4
DORIS,FEMALE STUDENT #1,4
DORIS,GARY,4
MERLIN,WOLF,4
MERLIN,PINOCCHIO,4
MERLIN,PRINCE CHARMING,4
ARTIE,BODY,4
ARTIE,BY A MONSTER TRYING TO RELATE TO,4
ARTIE,CHEERLEADERS,4
ARTIE,CINDERELLA,4
ARTIE,COSTUME STUDENT 1,4
ARTIE,COSTUME STUDENT 2,4
PRINCE CHARMING,STUDENTS,4
PRINCE CHARMING,TEACHER,4
PRINCE CHARMING,TEENAGER,4
MABEL,QUEEN,4
OGRE BABY,TIFFANY,4
OGRE BABY,VAN STUDENT,4
DORIS,GRITTED TEETH,4
DORIS,GUINEVERRE,4
DORIS,HALL MONITOR,4
DORIS,SHIP CAPTAIN,4
DORIS,JOCKS,4
DORIS,KNIGHT,4
DORIS,LANCELOT,4
OGRE BABY,XAVIER,4
OGRE BABY,PRINCESSES,4
OGRE BABY,PRINCIPAL PYNCHLEY,4
OGRE BABY,PUSS,4
OGRE BABY,RAPUNZEL,4
OGRE BABY,RUMPLESTILTSKIN,4
DORIS,XAVIER,4
DRAGON,DRIVERS ED INSTRUCTOR,4
OGRE BABY,SNOW WHITE,4
OGRE BABY,STUDENTS,4
OGRE BABY,TEENAGER,4
ARTIE,DRIVERS ED INSTRUCTOR,4
MERLIN,PUSS,4
MERLIN,RAPUNZEL,4
MABEL,TEENAGER,4
MABEL,TIFFANY,4
MABEL,VAN STUDENT,4
MABEL,WOLF,4
MABEL,XAVIER,4
ANNOUNCER,MABEL,4
MERLIN,PIG #1,4
MABEL,PUPPET MASTER,4
DORIS,PRINCIPAL PYNCHLEY,4
DRAGON,GRITTED TEETH,4
DRAGON,GUINEVERRE,4
DRAGON,HALL MONITOR,4
DORIS,MOTHER,4
ANNOUNCER,PRINCE CHARMING,4
SLEEPING BEAUTY,XAVIER,4
SNOW WHITE,STUDENTS,4
SNOW WHITE,TEACHER,4
ANNOUNCER,RAPUNZEL,4
ANNOUNCER,RUMPLESTILTSKIN,4
MABEL,SLEEPING BEAUTY,4
HIS EARS,PIG #1,4
MABEL,STUDENTS,4
DORIS,OGRE,4
DORIS,OGRE BABY,4
DORIS,TIFFANY,4
DORIS,VAN STUDENT,4
PRINCE CHARMING,QUIETLY,4
PRINCE CHARMING,SCRIPT,4
MABEL,PIG #2,4
MABEL,PIGS,4
MABEL,PINOCCHIO,4
HIS EARS,PUSS,4
HIS EARS,SHIP CAPTAIN,4
HIS EARS,SHREK,4
MABEL,PRINCESSES,4
MABEL,PRINCIPAL PYNCHLEY,4
LANCELOT,TIFFANY,4
LANCELOT,VAN STUDENT,4
STUDENTS,TIFFANY,4
DORIS,PRINCESSES/PUSS/DONKEY,4
SNOW WHITE,TEENAGER,4
SNOW WHITE,TIFFANY,4
SNOW WHITE,VAN STUDENT,4
SNOW WHITE,XAVIER,4
PIG #1,VAN STUDENT,4
PIG #1,PRINCIPAL PYNCHLEY,4
PRINCE CHARMING,SLEEPING BEAUTY,4
DRAGON,EVIL TREES,4
DRAGON,FEMALE STUDENT #1,4
DRAGON,GARY,4
DRAGON,MERLIN,4
DRAGON,MOTHER,4
DRAGON,OGRE,4
DRAGON,OGRE BABY,4
DORIS,STUDENTS,4
DORIS,TEENAGER,4
PIG #2,PUSS,4
PIG #1,STUDENTS,4
PIG #1,TEACHER,4
PRINCE CHARMING,PRINCESSES,4
PRINCE CHARMING,PRINCIPAL PYNCHLEY,4
PRINCE CHARMING,PUPPET MASTER,4
DRAGON,PRINCIPAL PYNCHLEY,4
PIG #1,TEENAGER,4
PIG #1,TIFFANY,4
LANCELOT,XAVIER,4
MABEL,MOTHER,4
MABEL,NANNY DWARF,4
MABEL,OGRE,4
MABEL,OGRE BABY,4
LANCELOT,RAPUNZEL,4
LANCELOT,RUMPLESTILTSKIN,4
LANCELOT,PIG #1,4
LANCELOT,PIG #2,4
LANCELOT,PIGS,4
ALL,WOLF,4
PIG #2,PINOCCHIO,4
DRAGON,SHIP CAPTAIN,4
DRAGON,JOCKS,4
DRAGON,KNIGHT,4
DRAGON,LANCELOT,4
DRAGON,MABEL,4
DRAGON,STUDENTS,4
DRAGON,TEENAGER,4
DRAGON,TIFFANY,4
DRAGON,VAN STUDENT,4
DRAGON,WOLF,4
PIG #2,PRINCIPAL PYNCHLEY,4
DRIVERS ED INSTRUCTOR,GINGERBREAD MAN/PINOCCHIO,4
PIG #2,STUDENTS,4
PIG #2,TEACHER,4
PIG #2,TEENAGER,4
PIG #2,TIFFANY,4
PIG #2,VAN STUDENT,4
PIG #1,XAVIER,4
STUDENTS,TEENAGER,4
LANCELOT,SHIP CAPTAIN,4
LANCELOT,SLEEPING BEAUTY,4
LANCELOT,SNOW WHITE,4
JOCKS,PIG #2,4
JOCKS,PIGS,4
LANCELOT,NANNY DWARF,4
LANCELOT,OGRE,4
LANCELOT,OGRE BABY,4
DRIVERS ED INSTRUCTOR,PIGS,4
DRIVERS ED INSTRUCTOR,GRITTED TEETH,4
DRIVERS ED INSTRUCTOR,HALL MONITOR,4
DRIVERS ED INSTRUCTOR,RAPUNZEL,4
DRIVERS ED INSTRUCTOR,RUMPLESTILTSKIN,4
DRIVERS ED INSTRUCTOR,SHIP CAPTAIN,4
DRIVERS ED INSTRUCTOR,JOCKS,4
DRIVERS ED INSTRUCTOR,KNIGHT,4
DRIVERS ED INSTRUCTOR,LANCELOT,4
DRAGON,XAVIER,4
DRIVERS ED INSTRUCTOR,EVIL QUEEN,4
DRAGON,PINOCCHIO,4
DRIVERS ED INSTRUCTOR,PIG #2,4
DRIVERS ED INSTRUCTOR,EVIL TREES,4
DRIVERS ED INSTRUCTOR,FIONA,4
DRIVERS ED INSTRUCTOR,GINGERBREAD MAN,4
PIG #2,SHREK,4
DRIVERS ED INSTRUCTOR,MABEL,4
DRIVERS ED INSTRUCTOR,MOTHER,4
DRIVERS ED INSTRUCTOR,NANNY DWARF,4
DRIVERS ED INSTRUCTOR,OGRE,4
DRIVERS ED INSTRUCTOR,OGRE BABY,4
DRIVERS ED INSTRUCTOR,PIG #1,4
LANCELOT,PRINCE CHARMING,4
LANCELOT,PRINCESSES,4
JOCKS,RUMPLESTILTSKIN,4
JOCKS,SHIP CAPTAIN,4
ALL,RUMPLESTILTSKIN,4
ALL,SHIP CAPTAIN,4
ALL,SHOUTING,4
ANNOUNCER,EVIL TREES,4
JOCKS,MABEL,4
EVIL QUEEN,PRINCIPAL PYNCHLEY,4
EVIL QUEEN,PUPPET MASTER,4
EVIL QUEEN,QUEEN,4
EVIL QUEEN,SLEEPING BEAUTY,4
EVIL QUEEN,SNOW WHITE,4
DRIVERS ED INSTRUCTOR,PRINCE CHARMING,4
DRIVERS ED INSTRUCTOR,PRINCESSES,4
DRIVERS ED INSTRUCTOR,PRINCIPAL PYNCHLEY,4
PIRATES,SHREK,4
EVIL QUEEN,STUDENTS,4
EVIL QUEEN,TEENAGER,4
EVIL QUEEN,TIFFANY,4
EVIL QUEEN,VAN STUDENT,4
EVIL QUEEN,WOLF,4
PIG #2,RUMPLESTILTSKIN,4
PIG #2,SHIP CAPTAIN,4
EVIL QUEEN,MERLIN,4
EVIL QUEEN,MOTHER,4
EVIL QUEEN,NANNY DWARF,4
EVIL QUEEN,OGRE,4
EVIL QUEEN,XAVIER,4
EVIL QUEEN,OGRE BABY,4
EVIL QUEEN,PIG #2,4
EVIL QUEEN,PIGS,4
EVIL QUEEN,PINOCCHIO,4
DRIVERS ED INSTRUCTOR,SLEEPING BEAUTY,4
DRIVERS ED INSTRUCTOR,SNOW WHITE,4
DRIVERS ED INSTRUCTOR,STUDENTS,4
DRIVERS ED INSTRUCTOR,TEENAGER,4
EVIL DWARF #1,GUARD #1,4
EVIL DWARF #1,GUARD #2,4
EVIL QUEEN,PRINCESSES,4
JOCKS,XAVIER,4
ALL,PIG #1,4
ALL,PINOCCHIO,4
ALL,PRINCE CHARMING,4
ALL,RAPUNZEL,4
JOCKS,PRINCE CHARMING,4
JOCKS,PRINCESSES,4
EVIL QUEEN,GINGERBREAD MAN,4
EVIL QUEEN,GINGERBREAD MAN/PINOCCHIO,4
EVIL QUEEN,GRITTED TEETH,4
EVIL QUEEN,GUINEVERRE,4
EVIL QUEEN,HALL MONITOR,4
EVIL QUEEN,JOCKS,4
EVIL QUEEN,KNIGHT,4
EVIL DWARF #1,SHREK,4
EVIL QUEEN,LANCELOT,4
PIG #2,WOLF,4
PIG #2,XAVIER,4
EVIL KNIGHT #1,RAPUNZEL,4
EVIL KNIGHT #1,RUMPLESTILTSKIN,4
EVIL QUEEN,EVIL TREES,4
EVIL QUEEN,FEMALE STUDENT #1,4
EVIL DWARF #1,EVIL WITCHES,4
EVIL DWARF #1,PINOCCHIO,4
EVIL QUEEN,GARY,4
JOCKS,MOTHER,4
JOCKS,NANNY DWARF,4
JOCKS,OGRE,4
JOCKS,OGRE BABY,4
JOCKS,PIG #1,4
JOCKS,TIFFANY,4
JOCKS,VAN STUDENT,4
ALL,CAPTAIN HOOK,4
KNIGHT,VAN STUDENT,4
KNIGHT,XAVIER,4
ALL,MERLIN,4
LANCELOT,MABEL,4
LANCELOT,MOTHER,4
JOCKS,SLEEPING BEAUTY,4
JOCKS,SNOW WHITE,4
JOCKS,STUDENTS,4
KNIGHT,SHIP CAPTAIN,4
TEENAGER,VAN STUDENT,4
ALL,EVIL QUEEN,4
PINOCCHIO,QUEEN,4
KNIGHT,NANNY DWARF,4
PIGS,SHIP CAPTAIN,4
PIGS,PRINCE CHARMING,4
KNIGHT,RAPUNZEL,4
TEENAGER,TIFFANY,4
TEACHER,WOLF,4
KNIGHT,PIGS,4
KNIGHT,PRINCE CHARMING,4
TEENAGER,XAVIER,4
ALL,DRAGON,4
PIGS,XAVIER,4
EVIL KNIGHT #1,MABEL,4
EVIL KNIGHT #1,EVIL TREES,4
KNIGHT,OGRE,4
KNIGHT,OGRE BABY,4
KNIGHT,PIG #1,4
KNIGHT,PIG #2,4
KNIGHT,SLEEPING BEAUTY,4
KNIGHT,SNOW WHITE,4
ALL,ANNOUNCER,3
TEENAGER,WIZARD HEAD,3
TEACHER,XAVIER,3
TEACHER,WIZARD HEAD,3
TEACHER,VAN STUDENT,3
TEACHER,TIFFANY,3
VILLAINS,WOLF,3
WIZARD HEAD,WOLF,3
WIZARD HEAD,XAVIER,3
KNIGHT,PINOCCHIO,3
KNIGHT,PIRATES,3
ALL,GUARD #1,3
ALL,GRITTED TEETH,3
ALL,GINGERBREAD MAN/PINOCCHIO,3
ALL,GINGERBREAD MAN,3
ALL,GARY,3
KNIGHT,QUIETLY,3
KNIGHT,QUEEN,3
